날짜,카테고리,출처,제목,요약,링크
2026-08-13,education,KEDI 공고,[입찰] 한국교육개발원 정기예금 금융기관 선정 공고,"KEDI, 정기예금 금융기관 입찰 공고",http://www.kedi.re.kr/khome/main/announce/selectBidAnnounceForm.do?selectTp=0&article_sq_no=36450&board_sq_no=2&currentPage=0&doc_use_yn=N
2026-08-13,science,NIA 보도자료,"NIA, 베트남 정보접근센터 기반 디지털 헬스케어·AI 협력 확대첨부파일 있음new2026.08.13조회수 8구서연윤리소통팀","NIA, 베트남과 디지털 헬스케어·AI 협력 확대",https://www.nia.or.kr#view
2026-08-13,education,한국교육과정평가원(KICE) 보도자료,[동정자료] AI 시대 과학교육의 역할과 비전 탐색을 주제로 3차 토론회 개최,AI 시대 과학교육 역할·비전 토론회 개최,https://www.kice.re.kr#contents
2026-08-13,policy,전교조 보도자료,[공동보도자료] 국가교육위원회 영유아특위 0-5세 유보통합 보고서 폐기 촉구 피케팅,"전교조, 유보통합 보고서 폐기 촉구 피케팅",https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245367&menu_id=2010
2026-08-14,education,KEDI 공고,[입찰] 한국교육개발원 정기예금 금융기관 선정 공고,KEDI 정기예금 금융기관 선정 입찰 공고,http://www.kedi.re.kr/khome/main/announce/selectBidAnnounceForm.do?selectTp=0&article_sq_no=36450&board_sq_no=2&currentPage=0&doc_use_yn=N
2026-08-14,policy,국가교육위원회 보도자료,[보도자료] 국가교육위원회 2026년 제8차 회의 개최,국가교육위원회 2026년 8차 회의 개최,https://www.ne.go.kr/BD_selectBbs.do?q_bbsSn=1004&q_bbsDocNo=20260813143113662
2026-08-14,education,한국교육과정평가원(KICE) 보도자료,[동정자료] AI 시대 과학교육의 역할과 비전 탐색을 주제로 3차 토론회 개최,AI 시대 과학교육 비전 탐색 토론회 개최,https://www.kice.re.kr#contents
2026-08-14,policy,전교조 보도자료,[공동보도자료] 국가교육위원회 영유아특위 0-5세 유보통합 보고서 폐기 촉구 피케팅,"전교조, 유보통합 보고서 폐기 촉구 피케팅",https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245367&menu_id=2010
2026-08-14,policy,한국교육신문(정책) - 헤드라인,"“거점국립대 3곳 선별, 대학 줄세우기 우려”정부가 이른바 ‘서울대 10개 만들기’를 위해 9개 지역거점국립대 가운데 3곳을 우선 선정해 집중 지원하려는 방안을 두고 대학 간 경쟁과 서열화를 부추길 수 있다는 지적이 나왔다. 일부 대학을 먼저 선별하기보다 9개 대학이 함께 출발한 뒤 대학별 특성과 발전계획에 따라 지원 규모를 달리해야 한다는 제안이다.  국회 교육위원회 간사인 이인선 의원(국민의힘)은 12일 정부의 ‘서울대 10개 만들기’ 정책의 전면적인 재검토를 촉구했다.  정부는 지역거점국립대의 경쟁력을 높이고 지역균형발전을 추진하기 위해 9개 거점국립대 가운데 올해 3곳을 우선 선정해 집중 지원하는 방안을 추진하고 있다. 이 의원은 특정 대학을 먼저 선정하는 방식이 나머지 대학을 사실상 후순위로 밀어 대학 간 격차를 키울 수 있다고 문제를 제기했다.   이 의원은 먼저 정책 목표부터 분명히 해야 한다고 지적했다. 그는 교육위원회 전체회의에서 최교진 장관에게 “서울대 10개 만들기의 목적이 거점국립대학을 세계적인 대학으로 만들겠다는 것인지, 지역 인재를 키우겠다는 것인지, 아니면 지역소멸을 막겠다는 것인지”를 물었다. 이에 최 장관이 세 가지 목표를 모두 추진하겠다는 취지로 답하자 이 의원은 현재…2026-08-13 17:56",거점국립대 3곳 선별 지원 방식 서열화 우려,https://www.hangyo.com/news/article.html?no=108860
2026-08-14,education,교과서민원바로처리센터 뉴스,"전국 고교 진로전담교사, “학교 진로.진학 상담 위해 우리가 나선다” / 교육부",고교 진로전담교사 진로·진학 상담 강화,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=294&boardSeq=106899&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020402&opType=N
2026-08-14,education,교과서민원바로처리센터 뉴스,방학 중 농산어촌.소규모학교 학생에게 인공지능 교육 기회를 넓힌다 / 교육부,농산어촌 소규모학교 AI 교육 기회 확대,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=294&boardSeq=106900&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020402&opType=N
2026-08-14,education,교과서민원바로처리센터 뉴스,“AI에 묻지 마” 대신 “좋은 질문 만들어봐”… 수업이 달라졌다 / 동아일보,AI 질문 중심 수업 방식 변화 사례,https://www.donga.com/news/Society/article/all/20260813/134468111/2
2026-08-14,education,교과서민원바로처리센터 뉴스,“서·논술 수능 독서로 충분...내년 3월 최종안 마련” / 한국교육신문,"서논술 수능 독서로 대비, 내년 3월 최종안",https://www.hangyo.com/news/article.html?no=108843
2026-08-14,education,교과서민원바로처리센터 뉴스,"대구시교육청, 고교학점제 과목선택권 확대' / 경북신문",대구교육청 고교학점제 과목선택권 확대,https://www.kbsm.net/news/view.php?idx=530378
2026-08-14,education,교과서민원바로처리센터 뉴스,"전북특별자치도교육청, “인공지능(AI) 활용으로 업무 방식 전환 본격화” / 전북도민일보",전북교육청 AI 활용 업무 방식 전환 추진,https://www.domin.co.kr/news/articleView.html?idxno=1565170
2026-08-14,education,교과서민원바로처리센터 뉴스,경북교육청 어린이보호구역 지정·해제 매뉴얼 제작·배포 / 경북매일,경북교육청 어린이보호구역 지정·해제 매뉴얼 배포,https://www.kbmaeil.com/article/20260813500271
2026-08-14,education,교과서민원바로처리센터 뉴스,"서울교육청, 독립기념관과 독립운동사 교육 강화 / 서울일보",서울교육청 독립운동사 교육 강화 추진,https://www.seoulilbo.com/news/articleView.html?idxno=845058
2026-08-14,policy,정책브리핑 검색('학교'),"재외동포청, 중앙아시아 최초로 한글학교교사 연수 개최재외동포청, 중앙아시아 최초로 한글학교교사 연수 개최  - 카자흐스탄 알마티에서 중앙아 첫 전체 연수 개최  - 카자흐스탄, 키르기스스탄, 우즈베키스탄 3개국 교사 82명 참여  【관련 국정과제】 123. 재외국민 안전과 편익 증진 및 재외동포 지원 강화  □ 재외동포청(청장 김경협)은 8월 11일부터 14일까지 ...2026-08-13재외동포청",중앙아시아 최초 한글학교 교사 연수 개최,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774374&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=학교&period=
2026-08-14,policy,정책브리핑 검색('학교'),"천안시 아동학대의심 사망사건 관련 위기아동 보호체계 강화 위한 관계부처 긴급 회의... 미비점을 되짚어보고, 경찰의 접근금지 신청 기각 등 경찰법원 등 사법 절차와 연계된 과정에서의 개선 방안을 논의하였다.  또한 취학의무 면제 등을 이유로학교를 다니지 않는 아동의 관리체계와 위험징후 파악 방식 전반을 점검하고, 유관기관 정보 공유 및 사각지대에 대해서도 논의하였다.  현수엽 제1차관은 ""이번 사망사건에 ...2026-08-13보건복지부",천안 아동학대 사망 후 위기아동 보호체계 점검,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774367&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=학교&period=
2026-08-14,policy,정책브리핑 검색('학교'),"국립의학전문대학원 설립 논의 본격화 제2차 설립준비위원회 개최... 설립에 필요한 사항을 효율적으로 심의하기 위한 ▲전문위원회 구성(안)에 대한 논의가 이루어졌다.  설립준비위원회는 제1차 회의(7.3.) 결과를 반영하여학교설립에 관한 전문적인 사항을 효율적으로 검토하기 위해 기반 시설, 교육과정, 운영체계, 의무복무 총 4개 분야의 전문위원회를 구성하기로 하였다. 전문위원회는 ...2026-08-13보건복지부",국립의학전문대학원 설립준비 2차 위원회 개최,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774287&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=학교&period=
2026-08-14,policy,정책브리핑 검색('학교'),"""용기있는 증언에서 평화의 발걸음으로""... 수상작으로 선정  됐으며  ,  미래세대들의 높은 관심과 참여를 보여주었다  .  ㅇ  최고 작품상인 국무총리상 수상작으로는  ,  손원주 학생  (  경남대학교)  의  만화  「  소녀여 그대가 바라는 것은 무엇인가    」  (  미술  ·  디자인 부문  )  와  김난아  학생  (  경기예술고등학교...2026-08-13성평등가족부",평화·인권 주제 수기 공모전 수상작 선정,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774347&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=학교&period=
